RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
64.89637,100,0,0,27.5,0.18658872,0.03575959,225.26079,0
65.64155,41,58,1,27.6,0.08997198,0.010634354,241.3039,0
59.50509,36,63,0,25,0.45727652,2.0973325,1609.9465,0
56.369106,59,41,0,27.2,0.5322603,0.25044677,351.03116,0
63.478474,43,54,4,26.2,0.44318035,27.206516,1555.604,0
55.020603,14,81,5,26.9,0.6771224,0.22459333,982.7735,0
57.544098,44,42,14,27.7,0.43419743,0.009428439,174.29242,0
67.99332,56,43,1,27.2,0.49876216,1.0558708,410.50742,0
59.954044,96,1,3,29.8,0.3819027,0.042958476,130.28339,0
58.741886,39,0,61,30.7,0.046239775,0.19077052,119.56362,0
54.055763,79,8,12,31,-0.10230017,0.22068973,302.7267,0
57.11916,89,11,0,29.9,0.40389067,0.698176,494.29297,0
61.03976,100,0,0,30.3,0.35868788,1.9941057,286.4553,0
61.11444,51,45,4,30.3,0.3814001,0.93371767,285.69995,0
